%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
%---------------------------------------------------------------------%
%                                       #      ###                   -%
%  #####      #    #####   ######      ##     #   #   #    #         -%
%  #    #     #    #    #  #          # #    # #   #  #   #          -%
%  #    #     #    #    #  #####        #    #  #  #  ####           -%
%  #####      #    #####   #            #    #   # #  #  #           -%
%  #          #    #       #            #     #   #   #   #          -%
%  #          #    #       ######     #####    ###    #    #         -%
%                                                                    -%
%---------------------------------------------------------------------%
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
%%%%%%                      2023 - 2024                          %%%%%%
%%%%%%                                                           %%%%%%
%%%%%%  Contact: sergio.hoyas@mot.upv.es                         %%%%%%
%%%%%%                                                           %%%%%%
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%

%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
%%%%%%                                                           %%%%%%
%%%%%%                     <<< CAUTION >>>                       %%%%%%
%%%%%%                                                           %%%%%%
%%%%%%  All rights are reserved by the authors.                  %%%%%%
%%%%%%  No part of the data described herein may be represented  %%%%%%
%%%%%%  without reference. The data base may be used without     %%%%%%
%%%%%%  notification to the author's laboratory, asuming that    %%%%%%
%%%%%%  it has been properly cited.                              %%%%%%
%%%%%%                                                           %%%%%%
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%

%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
%%                                                                   %%
%%  NOMENCLATURE:                                                    %%
%%   z = streamwise coordinate                                       %%
%%   r = wall-normal coordinate                                      %%
%%   t = Azimuthal coordinate                                        %%
%%   R = Radius                                                      %%
%%                                                                   %%
%%                                                                   %%
%%  BOX SIZE in R (z,r,t): 10pi|1|2pi                                %%
%%  FLOW CONDITIONS:  Retau  = 181 ,%%
%%                     utau  = 0.034200                              %%
%%%%
%%                                                                   %%
%%    Data file created: FEB 2023                                    %%
%%                                                                   %%
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%

%        (1-r)        ((1-r)^+)      (Uz^+)      (ur_{rms}^+)  (uz_{rms}^+)   (ut_{rms}^+)     (uzur^+)    
    0.71374686   129.42371849    18.52093350     0.71091306     1.03911018     0.76585246     0.26458605 
    0.71729951   130.06791985    18.53479869     0.70965401     1.03506431     0.76359912     0.26126693 
    0.72083913   130.70975860    18.54847896     0.70841016     1.03104400     0.76136496     0.25796202 
    0.72436550   131.34919573    18.56197378     0.70718158     1.02704974     0.75915033     0.25467139 
    0.72787841   131.98619238    18.57528273     0.70596832     1.02308203     0.75695579     0.25139509 
    0.73137765   132.62070984    18.58840547     0.70477046     1.01914145     0.75478207     0.24813316 
    0.73486301   133.25270956    18.60134180     0.70358801     1.01522858     0.75262998     0.24488560 
    0.73833427   133.88215311    18.61409166     0.70242101     1.01134404     0.75050044     0.24165243 
    0.74179122   134.50900227    18.62665509     0.70126947     1.00748846     0.74839442     0.23843364 
    0.74523366   135.13321892    18.63903230     0.70013341     1.00366245     0.74631288     0.23522921 
    0.74866136   135.75476514    18.65122362     0.69901280     0.99986662     0.74425676     0.23203912 
    0.75207414   136.37360315    18.66322950     0.69790763     0.99610157     0.74222696     0.22886339 
    0.75547177   136.98969536    18.67505052     0.69681786     0.99236791     0.74022424     0.22570201 
    0.75885405   137.60300431    18.68668738     0.69574345     0.98866624     0.73824921     0.22255503 
    0.76222077   138.21349274    18.69814086     0.69468435     0.98499721     0.73630231     0.21942251 
    0.76557174   138.82112355    18.70941182     0.69364052     0.98136148     0.73438374     0.21630453 
    0.76890674   139.42585982    18.72050118     0.69261191     0.97775977     0.73249352     0.21320118 
    0.77222558   140.02766479    18.73140991     0.69159848     0.97419281     0.73063146     0.21011259 
    0.77552805   140.62650189    18.74213905     0.69060019     0.97066139     0.72879722     0.20703889 
    0.77881396   141.22233473    18.75268965     0.68961702     0.96716627     0.72699033     0.20398022 
    0.78208309   141.81512711    18.76306279     0.68864896     0.96370825     0.72521024     0.20093672 
    0.78533526   142.40484300    18.77325961     0.68769602     0.96028808     0.72345635     0.19790856 
    0.78857027   142.99144655    18.78328125     0.68675819     0.95690653     0.72172808     0.19489589 
    0.79178791   143.57490213    18.79312889     0.68583551     0.95356435     0.72002486     0.19189890 
    0.79498800   144.15517428    18.80280371     0.68492799     0.95026229     0.71834613     0.18891777 
    0.79817034   144.73222774    18.81230691     0.68403567     0.94700110     0.71669140     0.18595272 
    0.80133473   145.30602743    18.82163970     0.68315858     0.94378158     0.71506019     0.18300397 
    0.80448099   145.87653849    18.83080325     0.68229675     0.94060457     0.71345206     0.18007177 
    0.80760892   146.44372625    18.83979874     0.68145021     0.93747095     0.71186661     0.17715639 
    0.81071834   147.00755624    18.84862730     0.68061900     0.93438167     0.71030348     0.17425812 
    0.81380905   147.56799419    18.85729005     0.67980315     0.93133769     0.70876231     0.17137725 
    0.81688086   148.12500606    18.86578805     0.67900270     0.92834002     0.70724279     0.16851408 
    0.81993359   148.67855798    18.87412234     0.67821767     0.92538969     0.70574463     0.16566890 
    0.82296706   149.22861632    18.88229394     0.67744809     0.92248769     0.70426757     0.16284201 
    0.82598107   149.77514766    18.89030381     0.67669399     0.91963497     0.70281136     0.16003367 
    0.82897545   150.31811878    18.89815293     0.67595541     0.91683242     0.70137578     0.15724417 
    0.83195002   150.85749668    18.90584226     0.67523237     0.91408082     0.69996067     0.15447373 
    0.83490459   151.39324858    18.91337275     0.67452490     0.91138085     0.69856589     0.15172260 
    0.83783898   151.92534194    18.92074536     0.67383303     0.90873306     0.69719138     0.14899100 
    0.84075302   152.45374441    18.92796109     0.67315679     0.90613788     0.69583713     0.14627914 
    0.84364652   152.97842388    18.93502092     0.67249620     0.90359558     0.69450322     0.14358722 
    0.84651932   153.49934847    18.94192588     0.67185126     0.90110630     0.69318983     0.14091544 
    0.84937124   154.01648653    18.94867700     0.67122197     0.89867006     0.69189721     0.13826398 
    0.85220210   154.52980662    18.95527536     0.67060833     0.89628674     0.69062570     0.13563301 
    0.85501173   155.03927754    18.96172207     0.67001031     0.89395615     0.68937569     0.13302274 
    0.85779997   155.54486836    18.96801824     0.66942787     0.89167799     0.68814762     0.13043332 
    0.86056664   156.04654832    18.97416505     0.66886095     0.88945192     0.68694198     0.12786493 
    0.86331157   156.54428696    18.98016367     0.66830947     0.88727754     0.68575924     0.12531776 
    0.86603460   157.03805401    18.98601531     0.66777334     0.88515447     0.68459986     0.12279197 
    0.86873556   157.52781949    18.99172123     0.66725243     0.88308227     0.68346429     0.12028775 
    0.87141429   158.01355361    18.99728268     0.66674661     0.88106055     0.68235292     0.11780525 
    0.87407063   158.49522687    19.00270097     0.66625574     0.87908892     0.68126610     0.11534466 
    0.87670441   158.97281000    19.00797740     0.66577965     0.87716700     0.68020411     0.11290614 
    0.87931547   159.44627396    19.01311335     0.66531815     0.87529445     0.67916718     0.11048983 
    0.88190366   159.91558999    19.01811018     0.66487105     0.87347091     0.67815549     0.10809589 
    0.88446881   160.38072957    19.02296933     0.66443815     0.87169607     0.67716917     0.10572445 
    0.88701078   160.84166444    19.02769226     0.66401924     0.86996960     0.67620828     0.10337565 
    0.88952940   161.29836657    19.03228046     0.66361409     0.86829117     0.67527289     0.10104961 
    0.89202453   161.75080822    19.03673549     0.66322248     0.86666042     0.67436300     0.09874642 
    0.89449601   162.19896190    19.04105893     0.66284417     0.86507699     0.67347860     0.09646619 
    0.89694370   162.64280036    19.04525243     0.66247893     0.86354046     0.67261968     0.09420902 
    0.89936743   163.08229664    19.04931768     0.66212651     0.86205041     0.67178618     0.09197497 
    0.90176708   163.51742403    19.05325642     0.66178667     0.86060634     0.67097807     0.08976414 
    0.90414248   163.94815608    19.05707044     0.66145916     0.85920774     0.67019527     0.08757660 
    0.90649350   164.37446663    19.06076158     0.66114374     0.85785405     0.66943772     0.08541242 
    0.90882000   164.79632975    19.06433172     0.66084014     0.85654467     0.66870532     0.08327167 
    0.91112182   165.21371983    19.06778279     0.66054812     0.85527899     0.66799798     0.08115443 
    0.91339884   165.62661149    19.07111674     0.66026741     0.85405634     0.66731559     0.07906078 
    0.91565091   166.03497963    19.07433558     0.65999775     0.85287604     0.66665798     0.07699081 
    0.91787790   166.43879946    19.07744133     0.65973889     0.85173740     0.66602500     0.07494459 
    0.92007967   166.83804641    19.08043604     0.65949056     0.85063968     0.66541644     0.07292223 
    0.92225609   167.23269624    19.08332178     0.65925250     0.84958216     0.66483206     0.07092383 
    0.92440702   167.62272496    19.08610065     0.65902443     0.84856409     0.66427159     0.06894947 
    0.92653234   168.00810887    19.08877475     0.65880610     0.84758470     0.66373470     0.06699927 
    0.92863191   168.38882455    19.09134619     0.65859723     0.84664322     0.66322103     0.06507333 
    0.93070561   168.76484885    19.09381711     0.65839756     0.84573886     0.66273019     0.06317177 
    0.93275332   169.13615894    19.09618962     0.65820683     0.84487082     0.66226171     0.06129468 
    0.93477490   169.50273225    19.09846587     0.65802476     0.84403830     0.66181511     0.05944218 
    0.93677023   169.86454649    19.10064800     0.65785110     0.84324046     0.66138988     0.05761437 
    0.93873920   170.22157969    19.10273814     0.65768559     0.84247648     0.66098546     0.05581134 
    0.94068169   170.57381014    19.10473846     0.65752797     0.84174552     0.66060125     0.05403321 
    0.94259756   170.92121645    19.10665108     0.65737798     0.84104672     0.66023667     0.05228006 
    0.94448672   171.26377749    19.10847817     0.65723538     0.84037925     0.65989107     0.05055198 
    0.94634905   171.60147246    19.11022187     0.65709992     0.83974224     0.65956382     0.04884906 
    0.94818442   171.93428083    19.11188432     0.65697135     0.83913485     0.65925428     0.04717139 
    0.94999273   172.26218237    19.11346769     0.65684945     0.83855622     0.65896181     0.04551903 
    0.95177388   172.58515716    19.11497410     0.65673397     0.83800553     0.65868575     0.04389207 
    0.95352774   172.90318557    19.11640572     0.65662468     0.83748192     0.65842545     0.04229058 
    0.95525422   173.21624828    19.11776467     0.65652137     0.83698459     0.65818030     0.04071462 
    0.95695321   173.52432626    19.11905310     0.65642382     0.83651272     0.65794966     0.03916427 
    0.95862461   173.82740079    19.12027314     0.65633180     0.83606550     0.65773291     0.03763957 
    0.96026831   174.12545345    19.12142691     0.65624511     0.83564215     0.65752947     0.03614059 
    0.96188422   174.41846613    19.12251652     0.65616353     0.83524189     0.65733874     0.03466740 
    0.96347224   174.70642102    19.12354408     0.65608688     0.83486397     0.65716016     0.03322004 
    0.96503227   174.98930062    19.12451169     0.65601495     0.83450762     0.65699316     0.03179856 
    0.96656421   175.26708775    19.12542142     0.65594754     0.83417212     0.65683722     0.03040303 
    0.96806797   175.53976551    19.12627534     0.65588448     0.83385674     0.65669180     0.02903349 
    0.96954347   175.80731735    19.12707551     0.65582556     0.83356077     0.65655641     0.02769000 
    0.97099061   176.06972700    19.12782395     0.65577062     0.83328349     0.65643055     0.02637260 
    0.97240930   176.32697852    19.12852268     0.65571948     0.83302422     0.65631375     0.02508135 
    0.97379946   176.57905627    19.12917368     0.65567195     0.83278227     0.65620555     0.02381630 
    0.97516100   176.82594493    19.12977893     0.65562789     0.83255697     0.65610551     0.02257749 
    0.97649385   177.06762951    19.13034036     0.65558711     0.83234764     0.65601319     0.02136499 
    0.97779791   177.30409530    19.13085990     0.65554947     0.83215364     0.65592819     0.02017883 
    0.97907312   177.53532795    19.13133943     0.65551480     0.83197430     0.65585011     0.01901908 
    0.98031938   177.76131340    19.13178081     0.65548296     0.83180899     0.65577856     0.01788578 
    0.98153663   177.98203792    19.13218587     0.65545379     0.83165707     0.65571317     0.01677897 
    0.98272480   178.19748810    19.13255642     0.65542716     0.83151791     0.65565360     0.01569873 
    0.98388381   178.40765083    19.13289420     0.65540293     0.83139090     0.65559949     0.01464509 
    0.98501358   178.61251336    19.13320096     0.65538096     0.83127541     0.65555051     0.01361810 
    0.98611406   178.81206323    19.13347839     0.65536111     0.83117085     0.65550636     0.01261782 
    0.98718518   179.00628831    19.13372814     0.65534327     0.83107662     0.65546673     0.01164429 
    0.98822686   179.19517680    19.13395184     0.65532731     0.83099214     0.65543133     0.01069756 
    0.98923905   179.37871723    19.13415108     0.65531311     0.83091683     0.65539987     0.00977769 
    0.99022169   179.55689843    19.13432740     0.65530056     0.83085014     0.65537209     0.00888472 
    0.99117471   179.72970959    19.13448230     0.65528954     0.83079150     0.65534773     0.00801869 
    0.99209805   179.89714019    19.13461726     0.65527995     0.83074038     0.65532655     0.00717966 
    0.99299167   180.05918007    19.13473369     0.65527167     0.83069626     0.65530830     0.00636766 
    0.99385551   180.21581938    19.13483298     0.65526463     0.83065861     0.65529275     0.00558275 
    0.99468951   180.36704860    19.13491647     0.65525870     0.83062694     0.65527970     0.00482497 
    0.99549362   180.51285853    19.13498546     0.65525381     0.83060077     0.65526892     0.00409435 
    0.99626780   180.65324032    19.13504121     0.65524986     0.83057961     0.65526021     0.00339094 
    0.99701200   180.78818544    19.13508492     0.65524676     0.83056302     0.65525339     0.00271478 
    0.99772617   180.91768569    19.13511777     0.65524443     0.83055054     0.65524827     0.00206591 
    0.99841026   181.04173319    19.13514087     0.65524279     0.83054177     0.65524467     0.00144436 
    0.99906425   181.16032040    19.13515531     0.65524177     0.83053629     0.65524242     0.00085018 
    0.99968808   181.27344013    19.13516211     0.65524129     0.83053371     0.65524136     0.00028339 
